8.63E-01,0.862646351,0.862646351,0.96305967,0.709842172,0.927082538,0.962306987,0.647742995,0.485088348,0.854188393,0.542406562,
9.63E-01,0.96305967,1,2,3,4,5,6,7,8,9,
7.10E-01,0.709842172,0.924988034,0.80195018,0.750377246,0.498250961,0.846301771,0.764376231,0.498111725,0.590872466,0.919054406,
9.27E-01,0.927082538,10,11,12,13,14,15,16,17,18,
9.62E-01,0.962306987,0.858472596,0.499305725,0.776148852,0.832429256,0.498439789,0.781357521,0.704352594,0.505464694,0.882520945,
6.48E-01,0.647742995,19,20,21,22,23,24,25,26,27,
4.85E-01,0.485088348,0.984120342,0.984703391,0.774887019,0.940038315,0.916691613,0.498973846,,,,
8.54E-01,0.854188393,28,29,30,31,32,33,,,,
5.42E-01,0.542406562,,,,,,,,,,
9.25E-01,0.924988034,test img,1,2,3,4,5,6,7,8,9
8.02E-01,0.80195018,,,,,,,,,,
7.50E-01,0.750377246,Iou,0.862646,0.96306,0.709842,0.927083,0.962307,0.647743,0.485088,0.854188,0.542407
4.98E-01,0.498250961,,,,,,,,,,
8.46E-01,0.846301771,test img,10,11,12,13,14,15,16,17,18
7.64E-01,0.764376231,,,,,,,,,,
4.98E-01,0.498111725,Iou,0.924988,0.80195,0.750377,0.498251,0.846302,0.764376,0.498112,0.590872,0.919054
5.91E-01,0.590872466,,,,,,,,,,
9.19E-01,0.919054406,test img,19,20,21,22,23,24,25,26,27
8.58E-01,0.858472596,,,,,,,,,,
4.99E-01,0.499305725,Iou,0.858473,0.499306,0.776149,0.832429,0.49844,0.781358,0.704353,0.505465,0.882521
7.76E-01,0.776148852,,,,,,,,,,
8.32E-01,0.832429256,test img,28,29,30,31,32,33,,,
4.98E-01,0.498439789,,,,,,,,,,
7.81E-01,0.781357521,Iou,0.98412,0.984703,0.774887,0.940038,0.916692,0.498974,,,
7.04E-01,0.704352594,,,,,,,,,,
5.05E-01,0.505464694,,,,,,,,,,
8.83E-01,0.882520945,,,,,,,,,,
9.84E-01,0.984120342,,,,,,,,,,
9.85E-01,0.984703391,,,,,,,,,,
7.75E-01,0.774887019,,,,,,,,,,
9.40E-01,0.940038315,,,,,,,,,,
9.17E-01,0.916691613,,,,,,,,,,
4.99E-01,0.498973846,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,1,2,3,4,5,6,7,,,
,,0.862646351,0.96305967,0.709842172,0.927082538,0.962306987,0.647742995,0.485088348,,,
,,8,9,10,11,12,13,14,,,
,,0.854188393,0.542406562,0.924988034,0.80195018,0.750377246,0.498250961,0.846301771,,,
,,15,16,17,18,19,20,21,,,
,,0.764376231,0.498111725,0.590872466,0.919054406,0.858472596,0.499305725,0.776148852,,,
,,22,23,24,25,26,27,28,,,
,,0.832429256,0.498439789,0.781357521,0.704352594,0.505464694,0.882520945,0.984120342,,,
,,29,30,31,32,33,,,,,
,,0.984703391,0.774887019,0.940038315,0.916691613,0.498973846,,,,,
